replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,centroid_error_mean,centroid_error_max,cluster_size_error_mean_abs,silhouette
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.302125,random_forest,1,6.61433960031718,0.948682665021949,0.9724716567292043,0.08974991670566662,0.15705259404611835,0.002400000000000002,0.5804550231332437
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.501425,random_forest,1,11.963019534014165,0.948682665021949,0.9416027936549566,0.1276211004740054,0.19829940223550768,0.0056000000000000025,0.5853538186440891
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.1006,random_forest,1,4.924458289984614,0.948682665021949,0.9882558625172685,0.010188194376066557,0.014862660892214611,0.0006000000000000005,0.5695831259892462
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.298375,random_forest,1,8.677317051682621,0.948682665021949,0.9534488376943991,0.05498373295596289,0.11937863862696045,0.005400000000000005,0.5726257072165586
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.500325,random_forest,1,7.493410407099873,0.948682665021949,0.7965383111322853,0.14323908656190407,0.5011519186435577,0.015599999999999998,0.5152911047730976
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.10165,random_forest,1,4.959224732127041,0.948682665021949,0.9894392954807679,0.02024074200346874,0.035670599014084314,0.0014000000000000013,0.5732092441389381
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.30065,random_forest,1,6.454075979068875,0.948682665021949,0.9466970892598298,0.053786852206548344,0.07834111973488432,0.0064000000000000055,0.5646888194676387
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.502375,random_forest,1,11.818686272017658,0.948682665021949,0.8326438262903856,0.1613284814287144,0.31839987418296617,0.0178,0.5410198242733223
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.1016,random_forest,1,5.169984758831561,0.948682665021949,0.9944524614325908,0.025390536625301757,0.036307318016474605,0.0008000000000000007,0.5698424638153973
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.30085,random_forest,1,6.719014646019787,0.948682665021949,0.9870049400592006,0.08175349164875288,0.16917157680197856,0.002200000000000002,0.5797328906201925
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.497325,random_forest,1,7.834604918025434,0.948682665021949,0.9456351150201646,0.12897658506928733,0.26105146426637904,0.005400000000000002,0.5939973375589825
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.09905,random_forest,1,5.026306974701583,0.948682665021949,0.993270488044916,0.00840089057303552,0.01596803749224031,0.0,0.5683773006207721
