replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,ari_vs_full_data_kmeans_within_variance,ari_vs_full_data_kmeans_between_variance,ari_vs_full_data_kmeans_total_variance,ari_vs_full_data_kmeans_rubin_se,ari_vs_full_data_kmeans_within_variance_available,centroid_error_mean,centroid_error_mean_within_variance,centroid_error_mean_between_variance,centroid_error_mean_total_variance,centroid_error_mean_rubin_se,centroid_error_mean_within_variance_available,centroid_error_max,centroid_error_max_within_variance,centroid_error_max_between_variance,centroid_error_max_total_variance,centroid_error_max_rubin_se,centroid_error_max_within_variance_available,cluster_size_error_mean_abs,cluster_size_error_mean_abs_within_variance,cluster_size_error_mean_abs_between_variance,cluster_size_error_mean_abs_total_variance,cluster_size_error_mean_abs_rubin_se,cluster_size_error_mean_abs_within_variance_available,silhouette,silhouette_within_variance,silhouette_between_variance,silhouette_total_variance,silhouette_rubin_se,silhouette_within_variance_available
9,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.5029,mice_pmm,10,56.16550056403503,0.948682665021949,0.7734081646019744,0.0,0.0005769435486384009,0.000634637903502241,0.025192020631585727,False,0.5407044156839939,0.0,0.0033214301040563987,0.003653573114462039,0.06044479394010736,False,1.2044821422647713,0.0,0.05804612380862681,0.0638507361894895,0.252687032096009,False,0.007120000000000003,1.4320961999999998e-05,1.6143999999999997e-05,3.2079362e-05,0.005663864581714503,True,0.44151924185926045,1.609494069094779e-05,0.0001753388183806174,0.00020896764090962694,0.014455713088935701,True
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.100825,mice_pmm,10,14.372919580899179,0.948682665021949,0.992882637893163,0.0,2.182018685902583e-06,2.4002205544928416e-06,0.0015492645205041138,False,0.04395140116404523,0.0,2.1194007848320125e-05,2.331340863315214e-05,0.004828396072522649,False,0.08315644491378052,0.0,0.00022320153408515928,0.0002455216874936752,0.01566913167644191,False,0.0006200000000000005,1.4258795999999997e-05,6.622222222222233e-08,1.4331640444444441e-05,0.0037857153147647592,True,0.5621354016437812,3.283779951899655e-05,2.417685134630332e-06,3.5497253167089915e-05,0.005957957130350126,True
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.2978,mice_pmm,10,34.68603285588324,0.948682665021949,0.9372389086168053,0.0,0.00010787633436495876,0.00011866396780145464,0.010893299215639614,False,0.1732643611640606,0.0,0.00033690097065568046,0.0003705910677212485,0.019250742004433195,False,0.2782317075676405,0.0,0.000565397525295299,0.000621937277824829,0.02493867032992796,False,0.002580000000000002,1.4208361000000001e-05,9.728888888888907e-07,1.5278538777777782e-05,0.003908777146087735,True,0.5237927098948726,2.614311771001135e-05,2.1092224627308234e-05,4.934456480005041e-05,0.007024568655800184,True
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.500725,mice_pmm,10,51.96260163001716,0.948682665021949,0.7722841286239008,0.0,0.00017079450484445123,0.00018787395532889636,0.013706712053913453,False,0.6015136874414397,0.0,0.0022441785336997093,0.0024685963870696805,0.049684971440765474,False,1.4100816007015091,0.0,0.019709687646695354,0.02168065641136489,0.14724352757036518,False,0.010160000000000004,1.4386860000000003e-05,9.055999999999972e-06,2.4348459999999976e-05,0.004934415872218309,True,0.43495708501361807,1.483402243902279e-05,4.320173114717777e-05,6.235592670091834e-05,0.007896576897676507,True
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.09775,mice_pmm,10,14.12780850706622,0.948682665021949,0.9937767850856007,0.0,4.413424095508096e-06,4.854766505058906e-06,0.002203353468025252,False,0.03988576734965752,0.0,1.3866605846345288e-05,1.5253266430979817e-05,0.0039055430391918377,False,0.08807969917358448,0.0,0.00022156942542607863,0.00024372636796868652,0.01561173814694208,False,0.00038000000000000035,1.4243655999999997e-05,6.622222222222234e-08,1.4316500444444441e-05,0.0037837151642855517,True,0.5654110421377644,3.374874306066182e-05,7.676560647830835e-07,3.459316473192321e-05,0.005881595424025969,True
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.301,mice_pmm,10,35.23800017731264,0.948682665021949,0.9415620868694938,0.0,3.925682721862784e-05,4.3182509940490626e-05,0.006571340041459628,False,0.167666524369031,0.0,0.0001138074666157581,0.00012518821327733393,0.011188753875089661,False,0.3127177540108007,0.0,0.0013908489916772896,0.0015299338908450187,0.03911436936529872,False,0.003280000000000003,1.4191662999999999e-05,1.2817777777777799e-06,1.5601618555555557e-05,0.0039498884231779965,True,0.5320957835953738,2.804955496375673e-05,5.8413157359729235e-06,3.447500227332695e-05,0.005871541728824462,True
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.501025,mice_pmm,10,74.52654610108584,0.948682665021949,0.8072385367480013,0.0,0.0005672888419384154,0.0006240177261322569,0.024980346797677907,False,0.5222216640264908,0.0,0.0024232184656733154,0.002665540312240647,0.051628870917739884,False,1.1577626793955418,0.0,0.04127278184293295,0.04540006002722625,0.2130728983874445,False,0.007820000000000004,1.4365651999999999e-05,1.6066222222222223e-05,3.2038496444444446e-05,0.005660255863867326,True,0.4564843420845843,1.6394040160347805e-05,0.00012248014869037686,0.00015112220371976237,0.012293177120653651,True
12,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.10035,mice_pmm,10,30.66928250109777,0.948682665021949,0.9903996464504459,0.0,3.6270984864300134e-06,3.989808335073015e-06,0.0019974504587280794,False,0.04268159673737412,0.0,3.3442930914213895e-05,3.678722400563529e-05,0.006065247233677724,False,0.09945082103325179,0.0,0.00015626412267070333,0.00017189053493777367,0.013110703068019414,False,0.0009200000000000009,1.4235995999999998e-05,1.0844444444444464e-07,1.4355284888888886e-05,0.0037888368781050586,True,0.5652405861383568,3.3824084846619524e-05,5.981488773736444e-07,3.448204861173053e-05,0.005872141739751395,True
12,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.30115,mice_pmm,10,58.95524979894981,0.948682665021949,0.9428958059682362,0.0,4.1857552094284456e-05,4.6043307303712905e-05,0.006785521888824242,False,0.20295685690129903,0.0,0.00018433161496986863,0.00020276477646685552,0.014239549728374684,False,0.3759533358312286,0.0,0.0005226451571078371,0.0005749096728186209,0.0239772740906597,False,0.0021600000000000013,1.4221159e-05,1.0737777777777778e-06,1.5402314555555556e-05,0.003924578264674506,True,0.5286601133307849,2.6846060747143183e-05,7.364281789798848e-06,3.494677071592192e-05,0.005911579375760924,True
12,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.499725,mice_pmm,10,70.01729976106435,0.948682665021949,0.753461914439135,0.0,0.00041502825284887434,0.0004565310781337618,0.021366587891700487,False,0.6082794014788163,0.0,0.0021056868260197203,0.0023162555086216926,0.04812749223283603,False,1.4597193671928594,0.0,0.019121716302365324,0.021033887932601858,0.14503064480516473,False,0.00986,1.4370323999999998e-05,1.7547111111111095e-05,3.36721462222222e-05,0.005802770564327199,True,0.42081357929021185,1.4553520564109315e-05,6.766738131583222e-05,8.898764001152476e-05,0.00943332603123229,True
