ID,cohort,trt,registered,activated,cluster,totalmins,logindays,loginwks,pageviews,posts,ptp,ate,totaldays,act_wkpv,dur_wkpv,act_ptp,dur_ptp,act_ate,dur_ate,sdwkpv,sdptp,sdate,rate_wkpv,rate_ptp,rate_ate
367,4.0,,,,2,9.783333333333333,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.23570226,0.0,0.0,1.0,0.0,0.0
375,4.0,,,,2,122.9166666666667,27.0,13.0,355.0,0.0,0.0,0.0,114.0,13.0,16.0,0.0,0.0,0.0,0.0,39.179535,0.0,0.0,0.8125,0.0,0.0
379,4.0,,,,2,34.7,1.0,1.0,60.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,14.142136,0.0,0.0,1.0,0.0,0.0
396,5.0,,,,2,20.25,1.0,1.0,40.0,0.0,0.0,0.0,59.0,1.0,1.0,0.0,0.0,0.0,0.0,9.42809,0.0,0.0,1.0,0.0,0.0
403,3.0,,,,2,2.966666666666667,1.0,1.0,5.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1785113,0.0,0.0,1.0,0.0,0.0
404,4.0,,,,2,11.15,1.0,1.0,3.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.70710677,0.0,0.0,1.0,0.0,0.0
407,4.0,,,,2,5.016666666666667,3.0,3.0,25.0,0.0,0.0,0.0,32.0,3.0,4.0,0.0,0.0,0.0,0.0,3.7438402,0.0,0.0,0.75,0.0,0.0
421,3.0,,,,2,2.35,1.0,1.0,3.0,0.0,0.0,0.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.70710677,0.0,0.0,1.0,0.0,0.0
424,5.0,,,,2,15.81666666666667,3.0,3.0,75.0,0.0,0.0,0.0,95.0,3.0,15.0,0.0,0.0,0.0,0.0,11.728547,0.0,0.0,0.2,0.0,0.0
432,5.0,,,,2,210.4666666666667,4.0,4.0,166.0,0.0,0.0,0.0,49.0,4.0,7.0,0.0,0.0,0.0,0.0,18.0312,0.0,0.0,0.5714286,0.0,0.0
435,3.0,,,,2,176.1166666666667,7.0,5.0,243.0,0.0,0.0,0.0,61.0,5.0,9.0,0.0,0.0,0.0,0.0,26.299744,0.0,0.0,0.5555556,0.0,0.0
454,5.0,,,,2,24.5,2.0,2.0,32.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,5.45091,0.0,0.0,1.0,0.0,0.0
460,4.0,,,,2,46.36666666666667,5.0,4.0,164.0,0.0,0.0,0.0,36.0,4.0,5.0,0.0,0.0,0.0,0.0,25.790762,0.0,0.0,0.8,0.0,0.0
462,4.0,,,,2,43.56666666666667,4.0,3.0,62.0,0.0,0.0,0.0,15.0,3.0,3.0,0.0,0.0,0.0,0.0,13.634827,0.0,0.0,1.0,0.0,0.0
470,3.0,,,,2,91.73333333333333,7.0,5.0,254.0,0.0,0.0,0.0,34.0,5.0,5.0,0.0,0.0,0.0,0.0,24.151213,0.0,0.0,1.0,0.0,0.0
474,5.0,,,,2,112.1,3.0,2.0,239.0,0.0,0.0,0.0,78.0,2.0,6.0,0.0,0.0,0.0,0.0,39.621452,0.0,0.0,0.33333334,0.0,0.0
11,4.0,,,,3,243.75,24.0,12.0,403.0,5.0,0.0,5.0,94.0,12.0,14.0,0.0,0.0,3.0,11.0,37.23872,0.0,0.66911316,0.85714287,0.0,0.27272728
89,4.0,,,,3,122.3,15.0,7.0,832.0,6.0,2.0,4.0,67.0,7.0,8.0,1.0,1.0,4.0,5.0,147.04604,0.47140452,0.42779264,0.875,1.0,0.8
101,3.0,,,,3,84.05,19.0,11.0,180.0,6.0,2.0,4.0,110.0,11.0,14.0,1.0,1.0,4.0,7.0,14.191961,0.47140452,0.42779264,0.78571427,1.0,0.5714286
105,5.0,,,,3,479.4166666666666,19.0,10.0,848.0,10.0,1.0,9.0,122.0,10.0,16.0,1.0,1.0,5.0,12.0,66.93798,0.23570226,1.2004901,0.625,1.0,0.41666666
223,4.0,,,,3,108.9166666666667,14.0,11.0,360.0,3.0,0.0,3.0,109.0,11.0,16.0,0.0,0.0,3.0,5.0,33.38545,0.0,0.3834825,0.6875,0.0,0.6
245,4.0,,,,3,452.9666666666667,40.0,15.0,916.0,3.0,0.0,3.0,109.0,15.0,17.0,0.0,0.0,2.0,3.0,57.079807,0.0,0.51449573,0.88235295,0.0,0.6666667
259,4.0,,,,3,296.3833333333333,9.0,6.0,269.0,3.0,0.0,3.0,119.0,6.0,16.0,0.0,0.0,1.0,1.0,26.313656,0.0,0.70710677,0.375,0.0,1.0
